instance,algo,pool,run,wind,our_nd,cec_nd,our_cost_min,cec_cost_min,our_power_max,cec_power_max,d_cost_min_abs,d_cost_min_pct,d_power_max_abs,d_power_max_pct,C_cec_ours,C_ours_cec
ns101,moead,p100_i50,8,"180deg, 3 m/s",162,208,133052844.01237346,133053345.78826396,199.6034365296,199.1309791207,-501.7758904993534,-0.00037712384271633464,0.47245740889999865,0.23725962227787084,0.5802469135802469,0.375
ns101,moead,p100_i50,9,"270deg, 3 m/s",213,205,133052844.01237345,133052844.01237345,204.006880343,202.9018965364,0.0,0.0,1.1049838066000177,0.5445901814928511,0.5727699530516432,0.33170731707317075
ns101,nsga2,p100_i50,0,"330deg, 13 m/s",299,300,133995908.36434826,133981616.35775636,1607697.2880859375,1606757.791015625,14292.006591901183,0.010667140000564563,939.4970703125,0.05847160508981555,0.10702341137123746,0.8733333333333333
ns101,nsga2,p100_i50,1,"30deg, 4 m/s",300,300,133595719.4666692,133611797.18871371,1898.1665821075,1898.1665821075,-16077.72204451263,-0.012033160531329733,0.0,0.0,0.1,0.74
ns101,nsga2,p100_i50,2,"240deg, 8 m/s",300,300,133909114.63772322,133930084.15639964,163745.6330566406,163745.6330566406,-20969.518676415086,-0.015657063764648645,0.0,0.0,0.8133333333333334,0.12333333333333334
ns101,nsga2,p100_i50,3,"210deg, 4 m/s",300,300,133648449.72914588,133824329.97128242,1898.1665811539,1898.1665811539,-175880.24213653803,-0.1314262079057526,0.0,0.0,0.8533333333333334,0.12666666666666668
ns101,nsga2,p100_i50,4,"90deg, 10 m/s",299,300,133796067.7730938,133762815.8754179,608855.2075195312,608072.5598144531,33251.89767590165,0.024858849941430155,782.647705078125,0.1287095910588272,0.9765886287625418,0.0
ns101,nsga2,p100_i50,5,"120deg, 19 m/s",300,300,133954400.10236011,133830832.74644372,4521204.021484375,4522043.447265625,123567.35591639578,0.09233100727282094,-839.42578125,-0.018562974704667674,0.023333333333333334,0.91
ns101,nsga2,p100_i50,6,"30deg, 7 m/s",300,300,133499269.18592656,133568768.65940437,73943.7025146484,73943.7025146484,-69499.47347781062,-0.05203272754204377,0.0,0.0,0.25,0.6333333333333333
ns101,nsga2,p100_i50,7,"30deg, 15 m/s",300,300,134038952.97240248,133806582.6446385,2519429.396484375,2519429.396484375,232370.32776398957,0.1736613574394282,0.0,0.0,0.6066666666666667,0.27
ns101,nsga2,p100_i50,8,"180deg, 3 m/s",299,300,133808517.30284588,133749336.88397989,200.8192179799,200.9666381478,59180.41886599362,0.04424726151526967,-0.1474201679000089,-0.07335554262075548,0.4816053511705686,0.3566666666666667
ns101,nsga2,p100_i50,9,"270deg, 3 m/s",300,300,133927404.07257092,133803447.91169496,206.9099362493,207.2677221894,123956.16087596118,0.09264048334372325,-0.3577859401000012,-0.17262019204951679,0.6366666666666667,0.20666666666666667
ns178,moead,p100_i50,0,"120deg, 11 m/s",263,300,47364553.0542486,47363774.909787856,782612.9482421875,782612.9482421875,778.1444607451558,0.0016429105624018792,0.0,0.0,0.8022813688212928,0.13666666666666666
ns178,moead,p100_i50,1,"240deg, 7 m/s",168,154,47363207.04138577,47363774.909787856,59369.9020996094,59369.9020996094,-567.8684020861983,-0.0011989508926765183,0.0,0.0,0.47619047619047616,0.24675324675324675
ns178,moead,p100_i50,2,"270deg, 11 m/s",300,300,47363988.7247304,47369729.02441212,695785.4897460938,695785.4897460938,-5740.299681715667,-0.012118075825929654,0.0,0.0,0.43,0.20666666666666667
ns178,moead,p100_i50,3,"60deg, 4 m/s",74,92,47362665.49977556,47363118.914506,1537.4175853729,1537.4175853729,-453.4147304445505,-0.0009573160316215624,0.0,0.0,0.6756756756756757,0.14130434782608695
ns178,moead,p100_i50,4,"270deg, 12 m/s",300,300,47365922.62989447,47363207.04138577,937796.759765625,937796.759765625,2715.5885087028146,0.005733540185169355,0.0,0.0,0.48,0.27
ns178,moead,p100_i50,5,"210deg, 19 m/s",300,300,47363774.909787856,47364506.97203943,2721697.587890625,2720506.509765625,-732.0622515752912,-0.0015455924665434555,1191.078125,0.04378148409954045,0.24666666666666667,0.5033333333333333
ns178,moead,p100_i50,6,"210deg, 11 m/s",300,282,47365428.011170335,47363774.909787856,737015.0751953125,738295.44140625,1653.1013824790716,0.00349022303570118,-1280.3662109375,-0.17342193099536876,0.58,0.20212765957446807
ns178,moead,p100_i50,7,"0deg, 7 m/s",78,60,47362665.49977556,47362665.49977556,37234.3078918457,37328.3323669434,0.0,0.0,-94.0244750976999,-0.2518850137033299,0.5128205128205128,0.06666666666666667
ns178,moead,p100_i50,8,"30deg, 7 m/s",109,143,47363118.914506,47363118.91450602,53887.7637329102,53914.2530822754,-1.4901161193847656e-08,-3.1461528580382066e-14,-26.489349365197995,-0.04913236825292589,0.29357798165137616,0.40559440559440557
ns178,moead,p100_i50,9,"150deg, 15 m/s",270,204,47375919.4712877,47366605.51191808,1983555.0136718752,1983701.3613281248,9313.95936961472,0.019663556780042432,-146.34765624953434,-0.007377504452159667,0.9037037037037037,0.06372549019607843
ns178,nsga2,p100_i50,0,"120deg, 11 m/s",300,300,47412520.25066812,47479710.98480989,782612.9482421875,782612.9482421875,-67190.73414176702,-0.14151462329512338,0.0,0.0,0.4,0.36
ns178,nsga2,p100_i50,1,"240deg, 7 m/s",300,300,47398975.314108685,47530932.327599615,59369.9020996094,59369.9020996094,-131957.0134909302,-0.27762344862380745,0.0,0.0,0.8166666666666667,0.05333333333333334
ns178,nsga2,p100_i50,2,"270deg, 11 m/s",300,300,47439186.09350308,47412543.03948542,695785.4897460938,695785.4897460938,26643.054017663002,0.05619410457581768,0.0,0.0,0.37333333333333335,0.35
ns178,nsga2,p100_i50,3,"60deg, 4 m/s",246,300,47430273.50312552,47413334.63276648,1537.4175853729,1537.4175853729,16938.870359040797,0.035725962938988595,0.0,0.0,0.6991869918699187,0.23333333333333334
ns178,nsga2,p100_i50,4,"270deg, 12 m/s",300,300,47430577.67023434,47432553.3153691,937796.759765625,937796.759765625,-1975.6451347619295,-0.00416516716194104,0.0,0.0,0.31,0.30666666666666664
ns178,nsga2,p100_i50,5,"210deg, 19 m/s",282,300,47457915.46141774,47453611.27789128,2722764.001953125,2723345.751953125,4304.183526463807,0.009070297097639719,-581.75,-0.02136159169590499,0.9893617021276596,0.013333333333333334
ns178,nsga2,p100_i50,6,"210deg, 11 m/s",296,300,47466087.33585284,47434374.98620669,740040.90234375,741840.8505859375,31712.349646151066,0.06685520712641964,-1799.9482421875,-0.24263266720426951,0.08445945945945946,0.8433333333333334
